,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mean,0.24987833658854167,-0.7994384765625,0.523137919108073,2.272264631043257,-1.069440203562341,1.4344783715012723,22.048745098039216
std,0.1536008443115322,0.22391135190773595,0.15729101173638266,39.147515942015175,27.959611627152114,56.31135133874608,0.8186833995852265
min,-1.832275390625,-2.0,-1.091552734375,-225.93129770992363,-126.99236641221374,-250.13740458015263,20.718235294117648
25%,0.229736328125,-0.82135009765625,0.52587890625,0.7099236641221374,-1.1469465648854962,-0.8244274809160306,21.753529411764703
50%,0.236572265625,-0.817138671875,0.53662109375,1.0381679389312977,-0.7557251908396947,-0.0877862595419847,22.03588235294118
75%,0.247314453125,-0.812744140625,0.545166015625,1.330152671755725,-0.4179389312977099,0.7958015267175572,22.17705882352941
max,1.216552734375,0.510986328125,1.927001953125,250.1297709923664,167.24427480916032,250.1297709923664,39.54176470588236
peak_to_peak,3.048828125,2.510986328125,3.0185546875,476.06106870229,294.23664122137404,500.267175572519,18.82352941176471
