,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
count,2511.0,2511.0,2511.0,2511.0,2511.0,2511.0,2511.0
mean,0.05955959306395609,0.962522104886935,0.25546394691482477,0.7423428517576101,-0.42707050808503644,-0.3467339127685512,23.306095766861105
std,1.4346213579206655,0.5311345565812295,1.3250506626805318,62.39859885283601,87.42252388424203,65.96062332914639,0.053100274553674415
min,-2.0,-0.494384765625,-2.0,-191.4580152671756,-196.72519083969465,-187.1679389312977,23.11823529411765
25%,-1.357421875,0.5225830078125,-0.859375,-43.1526717557252,-72.27099236641222,-49.94274809160305,23.25941176470588
50%,0.093505859375,0.9619140625,0.3408203125,0.9083969465648856,-0.5572519083969466,-0.2137404580152671,23.306470588235296
75%,1.541717529296875,1.33740234375,1.5413818359375,52.51526717557252,69.6145038167939,52.091603053435115,23.353529411764708
max,1.99993896484375,1.99993896484375,1.99993896484375,143.83969465648855,189.3969465648855,150.206106870229,23.44764705882353
peak_to_peak,3.99993896484375,2.49432373046875,3.99993896484375,335.2977099236641,386.12213740458014,337.3740458015267,0.3294117647058812
