,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mean,0.09660512288411459,-0.7424955240885417,0.2552947998046875,3.1893384223918577,-1.2576208651399488,1.7306615776081435,23.635333333333335
std,0.44318297624645686,0.3488896173944454,0.4564095386734969,56.14933339135675,42.747815106480246,87.37269013470114,0.8055171193476589
min,-2.0,-2.0,-1.5244140625,-250.13740458015263,-191.57251908396947,-250.13740458015263,22.224117647058826
25%,-0.08203125,-0.87542724609375,-0.05902099609375,-7.75763358778626,-13.541984732824428,-15.774809160305344,22.835882352941177
50%,0.2386474609375,-0.775146484375,0.447998046875,0.9198473282442747,-0.5763358778625953,-0.1297709923664122,23.635882352941177
75%,0.28448486328125,-0.709228515625,0.595947265625,15.971374045801527,7.755725190839695,21.16793893129771,24.48294117647059
max,1.99993896484375,0.827392578125,1.99993896484375,250.1297709923664,250.1297709923664,250.1297709923664,25.188823529411764
peak_to_peak,3.99993896484375,2.827392578125,3.52435302734375,500.267175572519,441.7022900763359,500.267175572519,2.9647058823529377
